##########################################################################
# Parameters for the APBS Vparam class from the CHARMM par_all27_prot_na 
# force field.  <EPSILON> values in this file should not be trusted!
# Adapted by Todd Dolinsky and Nathan Baker
#
# Format:
#  <RESIDUE> <ATOM> <CHARGE> <RADIUS> <EPSILON>
# where <RESIDUE> is the residue name, <ATOM> is the atom name, <CHARGE>
# is the atomic charge in e, <RADIUS> is the van der Waals radius in
# A, and <EPSILON> is the van der Waals well depth in kcal/mol.
##########################################################################
1MC	C1	-0.270	1.900	0.000
1MC	C2	0.520	1.900	0.000
1MC	C4	0.650	1.800	0.000
1MC	C5	-0.130	1.900	0.000
1MC	C6	0.050	1.900	0.000
1MC	H11	0.090	1.850	0.000
1MC	H12	0.090	1.850	0.000
1MC	H13	0.090	1.850	0.000
1MC	H41	0.370	0.900	0.000
1MC	H42	0.330	0.900	0.000
1MC	H5	0.070	0.225	0.000
1MC	H6	0.170	0.225	0.000
1MC	N1	-0.130	1.850	0.000
1MC	N3	-0.660	1.850	0.000
1MC	N4	-0.750	1.850	0.000
1MC	O2	-0.490	1.770	0.000
1MT	C1	-0.270	1.900	0.000
1MT	C2	0.510	1.800	0.000
1MT	C4	0.500	1.900	0.000
1MT	C5	-0.150	2.275	0.000
1MT	C5M	-0.110	1.900	0.000
1MT	C6	0.170	1.900	0.000
1MT	H11	0.090	1.850	0.000
1MT	H12	0.090	1.850	0.000
1MT	H13	0.090	1.850	0.000
1MT	H3	0.360	1.358	0.000
1MT	H51	0.070	1.850	0.000
1MT	H52	0.070	1.850	0.000
1MT	H53	0.070	1.850	0.000
1MT	H6	0.170	0.225	0.000
1MT	N1	-0.340	1.850	0.000
1MT	N3	-0.460	1.850	0.000
1MT	O2	-0.410	1.700	0.000
1MT	O4	-0.450	1.700	0.000
1MU	C1	-0.270	1.900	0.000
1MU	C2	0.550	1.800	0.000
1MU	C4	0.530	1.900	0.000
1MU	C5	-0.150	1.900	0.000
1MU	C6	0.200	1.900	0.000
1MU	H11	0.090	1.850	0.000
1MU	H12	0.090	1.850	0.000
1MU	H13	0.090	1.850	0.000
1MU	H3	0.360	1.358	0.000
1MU	H5	0.100	0.225	0.000
1MU	H6	0.140	0.225	0.000
1MU	N1	-0.340	1.850	0.000
1MU	N3	-0.460	1.850	0.000
1MU	O2	-0.450	1.700	0.000
1MU	O4	-0.480	1.700	0.000
25P1	1C2'	0.010	2.010	0.000
25P1	1C3'	-0.180	2.080	0.000
25P1	1H2''	0.090	1.260	0.000
25P1	1H3'	0.090	1.850	0.000
25P1	1H3''	0.090	1.850	0.000
25P1	1O2'	-0.550	1.770	0.000
25P1	2C5'	-0.080	1.992	0.000
25P1	2H5'	0.090	1.850	0.000
25P1	2H5''	0.090	1.850	0.000
25P1	2O1P	-0.800	1.770	0.000
25P1	2O2P	-0.800	1.770	0.000
25P1	2O5'	-0.550	1.770	0.000
25P1	2P	1.500	2.270	0.000
25P2	1C2'	0.010	2.010	0.000
25P2	1C3'	-0.180	2.080	0.000
25P2	1H2''	0.090	1.260	0.000
25P2	1H3'	0.090	1.850	0.000
25P2	1H3''	0.090	1.850	0.000
25P2	1O2'	-0.550	1.770	0.000
25P2	2C5'	-0.080	2.080	0.000
25P2	2H5'	0.090	1.850	0.000
25P2	2H5''	0.090	1.850	0.000
25P2	2O1P	-0.800	1.770	0.000
25P2	2O2P	-0.800	1.770	0.000
25P2	2O5'	-0.550	1.770	0.000
25P2	2P	1.500	2.270	0.000
3PHO	C3'	0.010	2.010	0.000
3PHO	H3'	0.090	1.260	0.000
3PHO	H3T	0.340	1.340	0.000
3PHO	O1P3	-0.820	1.770	0.000
3PHO	O2P3	-0.820	1.770	0.000
3PHO	O3'	-0.620	1.770	0.000
3PHO	O3T	-0.680	1.900	0.000
3PHO	P3	1.500	2.270	0.000
3PO3	C3'	-0.090	2.010	0.000
3PO3	H3'	0.090	1.260	0.000
3PO3	O1P3	-0.900	1.770	0.000
3PO3	O2P3	-0.900	1.770	0.000
3PO3	O3'	-0.400	1.770	0.000
3PO3	O3P3	-0.900	1.770	0.000
3PO3	P3	1.100	2.270	0.000
3POM	C3'	0.010	2.010	0.000
3POM	C3T	-0.170	1.900	0.000
3POM	H3'	0.090	1.260	0.000
3POM	H3T1	0.090	1.850	0.000
3POM	H3T2	0.090	1.850	0.000
3POM	H3T3	0.090	1.850	0.000
3POM	O1P3	-0.780	1.770	0.000
3POM	O2P3	-0.780	1.770	0.000
3POM	O3'	-0.570	1.770	0.000
3POM	O3T	-0.570	1.770	0.000
3POM	P3	1.500	2.270	0.000
3TER	C3'	0.140	2.010	0.000
3TER	H3'	0.090	1.260	0.000
3TER	H3T	0.430	1.340	0.000
3TER	O3'	-0.660	2.000	0.000
5DP	C5'	-0.080	2.080	0.000
5DP	H5'	0.090	1.850	0.000
5DP	H5''	0.090	1.850	0.000
5DP	O13	-0.740	1.770	0.000
5DP	O1P	-0.820	1.770	0.000
5DP	O21	-0.900	1.770	0.000
5DP	O22	-0.900	1.770	0.000
5DP	O23	-0.900	1.770	0.000
5DP	O2P	-0.820	1.770	0.000
5DP	O5'	-0.620	1.770	0.000
5DP	P	1.500	2.270	0.000
5DP	P2	1.100	1.367	0.000
5MC1	C5	-0.110	1.900	0.000
5MC1	C5M	-0.220	1.900	0.000
5MC1	C6	0.050	1.900	0.000
5MC1	H1	0.370	1.358	0.000
5MC1	H5M1	0.090	1.850	0.000
5MC1	H5M2	0.090	1.850	0.000
5MC1	H5M3	0.090	1.850	0.000
5MC1	H6	0.170	0.225	0.000
5MC1	N1	-0.500	1.850	0.000
5MC2	C5	-0.110	1.900	0.000
5MC2	C5M	-0.220	1.900	0.000
5MC2	H5M1	0.090	1.850	0.000
5MC2	H5M2	0.090	1.850	0.000
5MC2	H5M3	0.090	1.850	0.000
5MET	C5'	-0.270	1.900	0.000
5MET	H5'	0.090	1.850	0.000
5MET	H5''	0.090	1.850	0.000
5MET	H53'	0.090	1.850	0.000
5PHO	C5'	-0.080	1.992	0.000
5PHO	H5'	0.090	1.850	0.000
5PHO	H5''	0.090	1.850	0.000
5PHO	H5T	0.340	1.340	0.000
5PHO	O1P	-0.820	1.770	0.000
5PHO	O2P	-0.820	1.770	0.000
5PHO	O5'	-0.620	1.770	0.000
5PHO	O5T	-0.680	1.900	0.000
5PHO	P	1.500	2.270	0.000
5POM	C5'	-0.080	1.992	0.000
5POM	C5T	-0.170	1.900	0.000
5POM	H5'	0.090	1.850	0.000
5POM	H5''	0.090	1.850	0.000
5POM	H5T1	0.090	1.850	0.000
5POM	H5T2	0.090	1.850	0.000
5POM	H5T3	0.090	1.850	0.000
5POM	O1P	-0.780	1.770	0.000
5POM	O2P	-0.780	1.770	0.000
5POM	O5'	-0.570	1.770	0.000
5POM	O5T	-0.570	1.770	0.000
5POM	P	1.500	2.270	0.000
5TER	C5'	0.050	1.992	0.000
5TER	H5'	0.090	1.850	0.000
5TER	H5''	0.090	1.850	0.000
5TER	H5T	0.430	1.340	0.000
5TER	O5'	-0.660	2.000	0.000
9EG	C9	-0.180	2.080	0.000
9EG	C9B	-0.270	1.900	0.000
9EG	H91	0.090	1.850	0.000
9EG	H92	0.090	1.850	0.000
9EG	H9B1	0.090	1.850	0.000
9EG	H9B2	0.090	1.850	0.000
9EG	H9B3	0.090	1.850	0.000
9MA	C2	0.500	2.275	0.000
9MA	C4	0.430	2.275	0.000
9MA	C5	0.280	2.275	0.000
9MA	C6	0.460	1.800	0.000
9MA	C8	0.340	2.275	0.000
9MA	C9	-0.270	1.900	0.000
9MA	H2	0.130	0.225	0.000
9MA	H61	0.380	0.900	0.000
9MA	H62	0.380	0.900	0.000
9MA	H8	0.120	0.225	0.000
9MA	H91	0.090	1.850	0.000
9MA	H92	0.090	1.850	0.000
