# PMF for two positive point charges in 78.54 dielectric continuum
#
# One point charge at x = -3, the other moving
#
# Energies in kJ/mol, distances in Å
# Refined to one level over 25000 verts
#
# Analytic energy = (17.686/r) kJ/mol
#
# x       Analytic   
#------------------------------------------------------------------------------
-2.75 70.744
-2.50 35.372
-2.25 23.5813
-2.00 17.686
-1.75 14.1488
-1.50 11.7907
-1.25 10.1063
-1.00 8.843
-0.75 7.86044
-0.50 7.0744
-0.25 6.43127
0.00 5.89533
0.25 5.44185
0.50 5.05314
0.75 4.71627
1.00 4.4215
1.25 4.16141
1.50 3.93022
1.75 3.72337
2.00 3.5372
2.25 3.36876
2.50 3.21564
2.75 3.07583
3.00 2.94767
